City,Latitude,Longitude,Landmark,House of Worship,Pilgrimage,Archaeological Site,Shoreline ,Waterside ,Woods ,Hill Station,Urban Area,Province,State,id
calangute,15.55,73.77,Museum Park Lake,0,0,16,0,24,0,0,40,calangute,Goa,c5b3b28b956b3626aed6b21afe7fa141
Calangute,15.54,73.76,Beach Port Bird Sanctury Fort Church,1,0,12,20,0,31,0,0,Goa,Goa,1747794ca36dc788841b5fc910bd4b9c
Calicut,11.26,75.78,Coast Port Beach,0,0,0,19,0,0,0,0,Calicut,Kerala,3d7348cae4e56c274100be4e1830455b
canacona,15.01,74.03,Dam Hindu Pilgrimage,0,8,0,0,23,0,0,0,canacona,Goa,c05d9f4d2ee12bf37a0cedd161290d1c
Candolim,15.53,73.76,Beach Fort Port Church,1,0,12,20,0,0,0,0,Goa,Goa,e15243d00f2d8f6a2781db135dc5079e
carmona,15.21,73.95,Museum Hindu Temple,3,0,16,0,0,0,0,0,carmona,Goa,aae48e9faca2091ae07e1dc261ddbbfe
cavelossim,15.2,73.94,Museum Park Lake,0,0,16,0,24,0,0,40,cavelossim,Goa,9e4c2e84cdcd076e1597a9ce81607fcf
Chail,30.96,77.19,Hill Station Forests Snowfall,0,0,0,0,0,27,35,0,Chail,HimachalPradesh,77c3b3606f959a6537a4ce8cdfb0587d
Chakan,18.76,73.86,Fort Hindu Temple,3,0,12,0,0,0,0,0,Chakan,Maharashtra,a8825a9b032f7f2dc38df92ad340e901
Chakrata,30.7,77.87,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,Chakrata,Uttarakhand,798c12c79b737934374051db35dcc219
Chamarajanagar,11.99,77.14,Waterfalls National Park Hills,0,0,0,0,26,30,33,0,Chamarajanagar,Karnataka,1d4a0cb015773d8fa5c40912cf734aa3
Chamba,32.56,76.12,Museum Palace Hindu Temple River Bank,3,0,16,0,22,0,0,0,Chamba,HimachalPradesh,d0746963258b8b7b7b196b33518bb3e3
Chambal,23.34,75.46,Museum Park Lake,0,0,16,0,24,0,0,40,Chambal,Madhya Pradesh,43e0af9375ffaf539b96cecdaba155c0
Chamoli,30.62,79.56,Dam Hindu Pilgrimage,0,8,0,0,23,0,0,0,Chamoli,Uttarakhand,7cfaeb3fbdd9621005a672e6aab46470
Champawat,29.34,80.1,Historical Place Hindu Pilgrimage,0,8,10,0,0,0,0,0,Champawat,Uttaranchal,e37f500f4f5cc2c5b983bebd0edbe98d
Chamrajnagar,11.9,77.12,Museum Hindu Temple,3,0,16,0,0,0,0,0,Chamrajnagar,Karnataka,24af34d71dab7c4bb01bf9ad430c3c1d
Chandigarh,30.71,76.84,Monument ArchitectureGarden Lake Zoo Museum City,0,0,14,0,24,29,0,38,Chandigarh,Chandigarh,5b8581b030970a08e2c860048a6957da
chandoli,17,73.76,Wildlife Sanctuary Park Hindu Temple,3,0,0,0,0,32,0,40,chandoli,Maharashtra,71843a5715e066de1d7b370ec8e96075
Chandrapur,19.97,79.3,Historical Place Cave Hindu Temple,3,0,13,20,0,0,0,0,Chandrapur,Maharashtra,feb6c643cf3f748f6250948c1c6e958f
Changanassery,9.45,76.54,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,Changanassery,Kerala,3f9e07c69ef7c07e1c9cf6b501e3d20a
Chattarpur,24.73,80.18,Hindu Temple Piligrimage,3,8,0,0,0,0,0,0,Chattarpur,MadhyaPradesh,566378218fdfda682da301f17773e20d
Chaukori,29.84,80.03,Dam Hindu Pilgrimage,0,8,0,0,23,0,0,0,Chaukori,Uttarakhand,03fe57c25e09415e26a9b4730271b3bb
chegat,11.84,76.07,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,chegat,Kerala,4acff1c5fcbd7648e2665f75f9a8a46c
Chengannur,9.32,76.62,Lake Park Temple Church,1,0,0,0,24,0,0,40,Chengannur,Kerala,c9cdf6850ac6e011b5964bdbe60cc802
Chennai,12.91,80.23,City Coast Beach National Park,0,0,0,20,0,30,0,38,Chennai,Tamil Nadu,698e400def9c2061958a4efce7343afc
cherai beach,10.12,76.18,Beach Museum Hindu Temple,3,0,16,20,0,0,0,0,cherai beach,Kerala,261888d9be0c64448d1799b4857d644e
Cherrapunjee,25.42,91.79,Hill Station Forests Waterfalls Valley Cave,0,0,13,0,26,27,34,0,Cherrapunjee,Meghalaya,5081eea780d5fbb2926127a0f0b116b9
Chettinad,10.24,78.78,Museum Palace Momuments Food,4,0,15,0,0,0,0,41,Chettinad,TamilNadu,40d6b884347d0cba8b13a2bc95deb8ad
chhapar,27.81,74.43,Museum Park Lake,0,0,16,0,24,0,0,40,chhapar,Rajasthan,e66ea48c038dd844ed527bea8ccfd5bc
Chhatarpur,24.77,79.62,Waterfalls Valley Cave,0,0,13,0,26,0,34,0,Chhatarpur,Madhya Pradesh,aaab9a5a2ec53a48f201129a36bdaf07
Chhindwara,22.06,78.94,Waterfalls Dam Lake RiverValley,0,0,0,0,22,0,34,0,Chhindwara,MadhyaPradesh,ba03e4d9151983cd4002b7ad2f545f97
Chidambaram,11.43,79.78,Hindu Piligrimage Hindu Temple Backwaters Forest,3,8,0,0,25,27,0,0,Chidambaram,TamilNadu,ba8964938931125db844f6e201cb840d
chikalthan,19.87,75.35,Dam Hindu Pilgrimage,0,8,0,0,23,0,0,0,chikalthan,Maharashtra,f953736fca0114ec1d9385573b35c583
Chikhaldara,21.4,77.34,Hill Station Valley Wildlife Sanctury Garden Fort Lake Museum,0,0,12,0,24,32,34,0,Chikhaldara,Maharashtra,68e87ee51419c9b928147f53924fb054
Chikmaglur,13.26,75.7,Hill Station Waterfalls Lake,0,0,0,0,26,0,36,0,Chikmaglur,Karnataka,8e39d1a5833c2397229c2b3d4770687c
chinchwad,18.66,73.77,Museum Hindu Temple,3,0,16,0,0,0,0,0,chinchwad,Maharashtra,cc57c560e188bb3e2caecdecbb1a68b0
chinnakanal,10.04,77.17,Waterfalls Valley Cave,0,0,13,0,26,0,34,0,chinnakanal,Kerala,872a1dda66ae194c6b0c938ff5890329
Chintpurni,31.81,76.1,Museum Park Lake,0,0,16,0,24,0,0,40,Chintpurni,,453fdc14bd97a3f38dd43f594e51ade1
Chiplun,17.58,73.53,Hindu Temple Waterfalls Historical Place,3,0,10,0,26,0,0,0,Chiplun,Maharashtra,ff25d80da858c99ad9d4581f03e2e103
Chitradurga,14.24,76.4,Fort Historical Place Monument River,0,0,10,0,22,0,0,0,Chitradurga,Karnataka,c93c80a3764b8f59371cd6c5745de6c4
Chitrakoot,25.18,80.87,Historical Place Hindu Pilgrimage,0,8,10,0,0,0,0,0,Chitrakoot,MadhyaPradesh,3f4a88d084c48e0ecb3ac00c1f408c39
Chitrasani,24.27,72.48,Hindu Temple,3,0,0,0,0,0,0,0,Chitrasani,Gujarat,06fd2432c131b986e3dabef63869e0fe
Chittaurgarh,24.89,74.63,Dam Fort Monument Hindu Temple,3,0,12,0,23,0,0,0,Chittaurgarh,Rajasthan,8138c9c54b82c646e576ab2d7422731f
Chittoor,13.24,79.08,Hindu Temple Hindu Pilgrimage Hills,3,8,0,0,0,0,33,0,Chittoor,AndhraPradesh,b5db726e72be975c13b5491218260365
Chittorgarh,24.92,74.62,Hills Fort Hindu Temple Monuments Historical Place,3,0,15,0,0,0,33,0,Chittorgarh,Rajasthan,2bd6ec2013818d5a283a1b8641adcd0a
chopdem,15.64,73.73,Waterfalls Valley Cave,0,0,13,0,26,0,34,0,chopdem,Goa,652f521e1983decc044b1febd499fb64
Chopta,30.54,79.57,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,Chopta,,c0af30ead10559aef060ebf6c4e9bc1e
chottanikara,9.93,76.39,Museum Park Lake,0,0,16,0,24,0,0,40,chottanikara,Kerala,ca8103b4e3612fafc4fd1c2772d7a0da
churi jodhan,27.97,75.19,Dam Hindu Pilgrimage,0,8,0,0,23,0,0,0,churi jodhan,Rajasthan,eb8c8019ba3162d45fced96b83e2a519
Churu,28.3,74.97,Desert Fort,0,0,17,0,0,0,0,0,Churu,Rajasthan,66eeacb3741ee1f40089d46241f5cb3a
Cochin,9.96,76.24,Fort Beach Church Palace Museum,1,0,12,20,0,0,0,0,Cochin,Kerala,e1dfa255cc8484cc945bae78fb0c73a6
Coimbatore,11.02,77.01,Hindu Temple Monument Lake Museum,3,0,15,0,24,0,0,0,Coimbatore,TamilNadu,75f125bd8f40fd2af6e2d4b9ca4388dc
collem,15.34,74.24,Waterfalls Valley Cave,0,0,13,0,26,0,34,0,collem,Karnataka,c03a2bc00f34083e412ab18884dade68
Colva,15.43,73.76,Beach Church,1,0,0,20,0,0,0,0,Goa,Goa,72c6d1ed4e2c349f7ec92e8b8e01afcd
Cooch Behar,26.32,89.44,Hills Lake Museum Park,0,0,16,0,24,0,33,40,Cooch Behar,WestBengal,d8a302c45294f2ffae389171c9b21069
Coonoor,11.33,76.79,Hill Station Park Fort Tea Estate,0,0,12,0,0,0,37,40,Coonoor,TamilNadu,145339f58746bc1b8e0358f5df38b5ac
Coorg,12.37,75.57,Hill Station Tea Estate Waterfalls,0,0,0,0,26,0,37,0,Coorg,Karnataka,0c8857e7a42f1841e1600776b11a76d5
Corbett,29.53,78.77,National Park River,0,0,0,0,22,30,0,0,Corbett,Uttaranchal,5fbd0343da103e21e6d08bad3511c909
Courtrallam,8.92,77.29,Waterfalls,0,0,0,0,26,0,0,0,Courtrallam,TamilNadu,1b1e0d2ca776d80a08a1429125d24026
Cuddalore,11.76,79.76,Coast Beach Fort Hindu Temple,3,0,12,20,0,0,0,0,Cuddalore,TamilNadu,0da1170714653ed695d012a07cb5f529
curca,15.44,73.87,Museum Park Lake,0,0,16,0,24,0,0,40,curca,Goa,082732417ffe6e13eb425cbac1e18f90
Cuttack,20.61,86.24,River Bank Historical Place Mosque Hindu Pilgrimage Zoo Museum Lake,6,8,10,0,22,29,0,0,Cuttack,Orissa,b2c3f9e1d96ca09fe80ee3b579580852
Dabhosa,20.01,73.2,Dam Hindu Pilgrimage,0,8,0,0,23,0,0,0,Dabhosa,Maharashtra,66ca986fd0c2e1c5485293d5280b97ea
dagshai,30.88,77.05,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,dagshai,Himachal Pradesh,6a242a5fd4ffc263589275c578f80cb5
Dahanu,19.98,72.75,Coast Beach Fort Hindu Temple,3,0,12,18,0,0,0,0,Dahanu,Maharashtra,6c4090c2c4f785bc5008c3f540562180
Dahej,21.72,72.76,Port Beach Coast Palace,0,0,11,19,0,0,0,0,Dahej,Gujarat,3fc203c9ed61377ea6de0fa9495f5266
Dakor,22.75,73.15,Lake Hindu Temple,3,0,0,0,24,0,0,0,Dakor,Gujarat,ece2bdc6959123b710402fc97053c361
Dalhousie,32.53,76,Hill Station Historical Place Church Monument Lake,1,0,15,0,24,0,36,0,Dalhousie,HimachalPradesh,468c541f41dd83f1ebec22e88dcb7131
Daltonganj,24.04,84.09,River Bank Fort Wildlife Sanctuary,0,0,12,0,22,32,0,0,Daltonganj,Jharkhand,1d0855477fcae0f027495a1277936ab8
dam dam,22.63,88.42,Wildlife Sanctuary Park Hindu Temple,3,0,0,0,0,32,0,40,dam dam,West Bengal,0f82b96208354933486b64f71f56c071
Daman,20.42,72.84,Fort Monastery Church Port Beach Coast Lake Island,5,0,12,21,24,0,0,0,Daman,DamanandDiu,299cd167e08b9dbec639eb917d598f0a
Damdama,21.45,83.33,Lake,0,0,0,0,24,0,0,0,Damdama,Haryana,d5fa2318b75034d04ebdfe1f8cc7cdb2
Danapur,25.59,85.14,Church Gurudwara Sikh Pilgrimage,2,9,0,0,0,0,0,0,Danapur,Bihar,8f169d3cfd20fa98187eddc7c07e6e3e
Dandeli,15.25,74.62,Wildlife Sanctuary Forest Cave Coast Beach Temple Hills,3,0,13,18,0,27,33,0,Dandeli,Karnataka,c28e9081ba818b331d585bb35c04eb37
Dapoli,17.78,73.11,Historical Place Education Beach Hills Monument Fort,0,0,10,20,0,0,33,0,Dapoli,Maharashtra,6f1aed7c57206018583a57a6af111a50
Darbhanga,26.15,85.89,Museum Palace Monuments,0,0,15,0,0,0,0,0,Darbhanga,Bihar,63ac127082f7763d9931ca3cb93f910b
Darjeeling,27.04,88.26,Hill Staion Monastery Church Monument Zoo,1,0,15,0,0,29,36,0,Darjeeling,WestBengal,01b387470a5301f3ce69668c8efe352c
Datia,25.67,78.46,Historical Place Hills Palace Garden Hindu Temple,3,0,10,0,0,28,33,0,Datia,Madhya Pradesh,bd20adc55356ad07defbcb5ea6a10785
daulatabad,19.96,75.22,Fort,0,0,12,0,0,0,0,0,daulatabad,Maharashtra,8db77a9923202717b96de79436b9c0e7
Dausa,26.53,76.29,Bird Sanctuary Hindu Temple,3,0,0,0,0,31,0,0,Dausa,Rajasthan,aa1d7820b45e89b9d8c17fac14dbce1b
Davanagere,14.47,75.91,Lake Garden Hindu Temple Food,3,0,0,0,24,28,0,41,Davanagere,Karnataka,960d3945b1f14d78838a406a8ff5e951
Dayapur,22.15,88.87,Island,0,0,0,21,0,0,0,0,Dayapur,West Bengal,d6e62d7ed35826e5960ea3b291feb409
Dechu,26.7,72.32,Fort Lake Desert,0,0,17,0,24,0,0,0,Dechu,Rajasthan,369f6bb21881a84b2c29fb0594b1980c
Deesa,24.26,72.19,Wildlife Sanctuary Park Hindu Temple,3,0,0,0,0,32,0,40,Deesa,Gujarat,fb02afe2a4280036460da8ac6c452f15
Dehradun,30.29,78,Monument Monastery Hindu Temple Museum River Bank Cave Park,5,0,13,0,22,0,0,40,Dehradun,Uttaranchal,89ae949ac1929959a2c9a2d55b570637
Delhi,28.65,77.21,Monuments,0,0,15,0,0,0,0,0,Delhi,Delhi,0c3514344c9cda8718f558e84bdb44ef
delwara,24.77,73.75,Museum Park Lake,0,0,16,0,24,0,0,40,delwara,Rajasthan,05ebe429a3c452885571f76b6dd7f312
dentam,27.25,88.2,Dam Hindu Pilgrimage,0,8,0,0,23,0,0,0,dentam,Sikkim,b5d4bd611def14d740b32d329114168e
Deoghar,24.49,86.69,River Bank Hindu Pilgrimage,0,8,0,0,22,0,0,0,Deoghar,Jharkhand,1a6f73bdfb39cd6e816c89acd8ccf1eb
Dera Bassi,30.65,76.82,Hindu Temple,3,0,0,0,0,0,0,0,Dera Bassi,Punjab,00affebfefecf7394d6218c57cf143e1
devanhalli,13.18,77.64,Museum Park Lake,0,0,16,0,24,0,0,40,devanhalli,Karnataka,530865ee9d44d6ff6b31870a5a5a680f
Devprayag,30.12,78.59,River Bank Hindu Pilgrimage,0,8,0,0,22,0,0,0,Devprayag,Uttaranchal,bac58c7b1df80a4b9708f1de23657bea
Dewas,22.92,76,Hindu Temple Palace,3,0,11,0,0,0,0,0,Dewas,MadhyaPradesh,6f765bfe3b3512d8d0210dbfc15ac013
Dhampur,26.85,80.95,Museum Mosque Palace,6,0,11,0,0,0,0,0,Dhampur,Uttar Pradesh,4f92eea2793f43320f71cf6fc4701edd
Dhamtari,20.7,81.55,Dam Hindu Pilgrimage,0,8,0,0,23,0,0,0,Dhamtari,Chhattisgarh,de30b4b3d704e7c3dd5fc77bbf2780f3
Dhanaulti,30.42,78.25,Hill Station Park Snow,0,0,0,0,0,0,35,40,Dhanaulti,Uttaranchal,5b8a8688dcd8c491326aea7875139c54
Dhanbad,23.79,86.42,Park Waterfalls Lake,0,0,0,0,24,0,0,40,Dhanbad,Jharkhand,5e06baf085e8de62c6b7b2557e0e7f8e
dhand,27.08,75.89,Garden Hindu Temple Park,3,0,0,0,0,28,0,40,dhand,Rajasthan,a3c6b82432a024214fd49c7ffebb38a2
dhantoli,21.09,79.07,Waterfalls Valley Cave,0,0,13,0,26,0,34,0,dhantoli,Maharashtra,451440aaa48fcbe3a7d459f840216bc4
Dhar,22.6,75.3,Museum Fort,0,0,12,0,0,0,0,0,Dhar,MadhyaPradesh,75179bac66ee9392f67cf56059769ef1
Dharamshala,32.24,76.33,Forest Hill Station Valley Monastery,5,0,0,0,0,27,34,0,Dharamshala,HimachalPradesh,737c6078a3ad2052f61c7773aa70fd22
Dharbhanga,26.11,85.9,Museum Palace Monuments,0,0,15,0,0,0,0,0,Dharbhanga,Bihar,1415deca55c94f166e387cf3cd71ada6
Dharmapuri,12.11,78.14,Dam Park Hindu Temple Hills,3,0,0,0,23,0,33,40,Dharmapuri,Tamil Nadu,6dc1f8c4849245c8dcbb2d57280fa1ea
Dharmavaram,14.42,77.72,Museum Park Lake,0,0,16,0,24,0,0,40,Dharmavaram,Andhra Pradesh,acba95fd4bb3bb388311af91643485b5
dharmsala,32.24,76.33,Dam Hindu Pilgrimage,0,8,0,0,23,0,0,0,dharmsala,Himachal Pradesh,6d92f901ef105a879c3089e584087584
dharuhera,28.21,76.82,Historical Place Zoo,0,0,10,0,0,29,0,0,dharuhera,Haryana,fb56b35ce3246699ab54a0f5a650fa92
Dharwad,15.45,75.01,Museum Park Lake,0,0,16,0,24,0,0,40,Dharwad,Karnataka,7cf8151bca6979ec21c07a96aa8d417a
Dholpur,26.7,77.89,Fort,0,0,12,0,0,0,0,0,Dholpur,Rajasthan,3705cf7c79f0ee8c8a4ef58ca94176ac
Dhule,20.9,74.74,River Bank Fort Lake,0,0,12,0,22,0,0,0,Dhule,Maharashtra,676683d7d842455500e0a6ace83696bc
Diamond Harbour,22.29,88.11,River Bank Port Museum,0,0,16,19,22,0,0,0,Diamond Harbour,WestBengal,8e49dd59f1d0eceecbe09896068674b0
Dibrugarh,27.47,94.91,River Bank Hindu Temple Park Monuments National Park,3,0,15,0,22,30,0,40,Dibrugarh,Assam,d10ef0a4e81de86936dfdac5ea2d07f9
Digha,21.63,87.53,Hindu Temple Beach Lake Museum Coast,3,0,16,18,24,0,0,0,Digha,WestBengal,a55a5383baa52aebda9800f7e8206b6c
Diglipur,13.24,92.96,Island River Bank,0,0,0,21,22,0,0,0,Diglipur,AndamanandNicobarIslands,fa65601d52b2c4ed3452a730977bdf68
Dimapur,25.91,93.73,Historical Place River Bank Valley Zoo,0,0,10,0,22,29,34,0,Dimapur,Nagaland,ae9593a2b391b7aca34d56cce9540bb8
Dindi,16.45,81.78,River Bank,0,0,0,0,22,0,0,0,Dindi,AndhraPradesh,68f30537000c2a9a4d047df78f75f7a7
Dindigul,10.36,77.98,Historical Place Monuments Fort,0,0,12,0,0,0,0,0,Dindigul,TamilNadu,6b51dc33072b883f96446a4ba2ec2024
Dirang,27.36,92.24,Dam Hindu Pilgrimage,0,8,0,0,23,0,0,0,Dirang,Arunachal Pradesh,47e740ed2c7d6bd197912a38e6e41964
dispur,26.13,91.82,Wildlife Sanctuary Park Hindu Temple,3,0,0,0,0,32,0,40,dispur,Assam,c889e77fa63b6a8db28b686869b7f0db
Diu,20.72,70.99,Fort Port Island Church Coast Museum Monuments,1,0,15,21,0,0,0,0,Diu,DamanandDiu,5d82d88c82d53ac965fe6536b4a61794
diva,19.16,73,Hindu Pilgrimage River Bank Garden,0,8,0,0,22,28,0,0,diva,Maharashtra,316e905481ff96c111f3069e2fdcaba8
dive,19.14,73.05,Dam Hindu Pilgrimage,0,8,0,0,23,0,0,0,dive,Maharashtra,32f109f49e2de4ccb7ef6943f6b05d1b
Diveagar,18.18,72.99,Beach Temple,3,0,0,20,0,0,0,0,Diveagar,Maharashtra,dda409b8074b9dd1db7287e06ee264bd
Dona Paula,15.46,73.81,Beach Museum,0,0,16,20,0,0,0,0,Goa,Goa,d319e5d7d1be2c675bae26ee7340af0c
Dooars,89.08,89.59,National Park Hill Station River Bank Forest,0,0,0,0,22,27,36,0,Dooars,WestBengal,de103287d6dfca10600a945e35d1b8bc
Dudhwa,27.95,80.78,National Park,0,0,0,0,0,30,0,0,Dudhwa National Park,UttarPradesh,d4385cee784c623d00954a405f21e764
Dungarpur,23.84,73.72,City Palace River Museum,0,0,11,0,22,0,0,38,Dungarpur,Rajasthan,be0fdfd35b89d540eb8318aaacf13fc9
Durg,21.19,81.28,River Bank Hindu Temple Park,3,0,0,0,22,0,0,40,Durg,Chhattisgarh,799cd710274eb2a4a82b8fa64671f7c8
Durgapur,23.54,87.29,Hindu Temple,3,0,0,0,0,0,0,0,Durgapur,WestBengal,5961b837081d80c82ddad7170bf723a8
durgjan,34.09,74.85,Waterfalls Valley Cave,0,0,13,0,26,0,34,0,durgjan,Jammu & Kashmir,ea013925a714894edd3f534015050488
Durshet,18.7,73.29,Dam Hindu Pilgrimage,0,8,0,0,23,0,0,0,Durshet,Maharashtra,e45e0d9d32b48712002b866d5a7e5d20
Dwarka,22.24,68.97,Hindu Temple Hindu Piligrimage Beach Historical Place Port,3,8,10,19,0,0,0,0,Dwarka,Gujarat,604406b933264fa08a5809fd304e0c38
EastSikkim,27.31,88.67,Museum Park Lake,0,0,16,0,24,0,0,40,EastSikkim,Gangtok,7c0cfff4c73d524be63e0096593e8d16
Eluru,16.71,81.11,Lake Bird Santuary Hindu Temple Cave,3,0,13,0,24,31,0,0,Godavari,AndhraPradesh,75e668bf20ea8a0378c2e4bd8ba668c0
eramalloor,9.83,76.31,Historical Place Zoo,0,0,10,0,0,29,0,0,eramalloor,Kerala,555a68c058b72f280a34d86d4f6d570b
Ernakulam,9.98,76.3,Beach Church Hindu Temple Museum,1,0,16,20,0,0,0,0,Ernakulam,Kerala,fa867dd5820f3d06006fe0465e5cd959
Erode,11.34,77.72,Bird Santuary Hindu Temple Dam Church Museum,1,0,16,0,23,31,0,0,Erode,TamilNadu,b03a3c9c77bba43b07d7977debcbc955
Etawah,26.81,79,Bird Sanctuary Wildlife Sanctuary Fort Park Hindu Temple,3,0,12,0,0,32,0,40,Etawah,Uttar Pradesh,5d7544e86252fcdd0449917a807f7bf2
Faizabad,26.77,82.17,Historical PlaceMuseumHindu TempleFort,3,0,12,0,0,0,0,0,Faizabad,UttarPradesh,2edb2f76f211b325f11e36843c23bdde
Falakata,26.52,89.21,Wildlife Sanctuary River Bank,0,0,0,0,22,32,0,0,Falakata,West Bengal,589fb6ad33b52c3fabafc7b5e191b5e4
Faridabad,28.48,77.31,Lake Hindu Temple Palace,3,0,11,0,24,0,0,0,Faridabad,Haryana,48bce979b7af2d9e663f95987b6e5f31
Faridkot,30.68,74.74,Hindu Temple Museum Fort,3,0,12,0,0,0,0,0,Faridkot,Punjab,026e748dade67de2a17b5cbc9d075b6a
Fatehabad,29.72,75.91,Hindu Temple,3,0,0,0,0,0,0,0,Fatehabad,Haryana,1a720318f9bfbb5a63ea7a758929140f
Fatehpur Sikri,27.09,77.66,Historical Place,0,0,10,0,0,0,0,0,Fatehpur Sikri,UttarPradesh,2b31bc9d0bcad342672ff5cc1f4f583e
Fazilka,30.39,74.04,Dam Hindu Pilgrimage,0,8,0,0,23,0,0,0,Fazilka,,21b44908af12a32ad3c5d70ee1edd248
Firozabad,27.16,78.39,Hindu TempleMosque,6,0,0,0,0,0,0,0,Firozabad,UttarPradesh,07891dd6f82e184df33e10dba711e6fd
Firozpur,30.93,74.63,Wildlife Sanctuary Forest Hindu Temple,3,0,0,0,0,27,0,0,Firozpur,Punjab,7f72a5254104641f76b2a75fcd36bdad
Forbesganj,26.3,87.26,Museum Park Lake,0,0,16,0,24,0,0,40,Forbesganj,,2e430a0fbfdf289fca278ae9aa5789eb
Gadag,15.42,75.64,Hindu Temple Zoo Museum Bird Sanctuary,3,0,16,0,0,29,0,0,Gadag,Karnataka,c0c4910e9b958b7d9eb7062d957503f2
Gajraula,28.84,78.27,Fort Hindu Temple,3,0,12,0,0,0,0,0,Gajraula,UttarPradesh,7bbf11dafe3c9ae5e52a66026ba3d8f9
Gandhidham,23.09,70.09,Church Hindu Temple,1,0,0,0,0,0,0,0,Gandhidham,Gujarat,8116fd1ee4e9e688c7879238c731ca88
Gandhinagar,23.25,72.63,Bird Sanctuary Hindu Temple Park Waterfalls Dam,3,0,0,0,26,31,0,40,Gandhinagar,Gujarat,53481c04f9f0ec9d4aa2d8f5e3fe1186
ganeshgudi,15.34,74.51,Historical Place Zoo,0,0,10,0,0,29,0,0,ganeshgudi,Karnataka,5a106afbcc3efbb1c54fc78849fc476f
ganganagar,29.93,73.87,Dam Hindu Pilgrimage,0,8,0,0,23,0,0,0,ganganagar,Rajasthan,92cee89fa1bba1593302edb2c7f50bc4
gangapur,20.02,73.73,Wildlife Sanctuary Park Hindu Temple,3,0,0,0,0,32,0,40,gangapur,Maharashtra,abbbb01dcf22845a0c35c5a7dfc23887
Gangavathi,15.43,76.54,Cave Hindu Temple Dam Historical Place,3,0,13,0,23,0,0,0,Gangavathi,Karnataka,f0ad945e32869ff94bfc2b939bea1023
Gangotri,23.62,72.42,Hindu Temple Historical Place Waterfalls Hill Station,3,0,10,0,26,0,36,0,Gangotri,Uttarakhand,0033123d39befd2d6325ac4fc9f87d4c
Gangtok,27.33,88.61,Lake Monastery Museum Hills,5,0,16,0,24,0,33,0,Gangtok,Sikkim,7369ff77e0cde60f1390cc8de8a58815
Ganpatipule,17.15,73.27,Beach Hindu Temple Garden,3,0,0,20,0,28,0,0,Ganpatipule,Maharashtra,870f8b3957224df4b8a66c9f762f7d09
Garhmukteshwar,28.79,78.09,Temple River Bank,3,0,0,0,22,0,0,0,Garhmukteshwar,UttarPradesh,e67959ce80bdb71abd12724a79855a7d
garjia,29.47,79.15,Dam Hindu Pilgrimage,0,8,0,0,23,0,0,0,garjia,Uttarakhand,c201a6db0a429edd20d6dc32b27393e8
Gaya,24.8,85,Hill StationHindu Temple,3,0,0,0,0,0,36,0,Gaya,Bihar,e7a45e2b2c363107a54f359c67650ed5
Ghangaria,30.7,79.59,Waterfalls Valley Cave,0,0,13,0,26,0,34,0,Ghangaria,Uttarakhand,4d769142042cad6844015e6540407b8f
ghansoli,19.12,73,Wildlife Sanctuary Park Hindu Temple,3,0,0,0,0,32,0,40,ghansoli,Maharashtra,037f1740f19369e16da1492edde47ff1
Ghaziabad,28.65,77.37,Park Hindu Temple,3,0,0,0,0,0,0,40,Ghaziabad,UttarPradesh,1d36063fc1fb1e618b37b18b4a6d0934
Giridih,24.18,86.31,Park Hindu Temple Dam,3,0,0,0,23,0,0,40,Giridih,Jharkhand,fe105a1321d68ad3a60a816373db180d
Goa,15.55,73.76,Beach Fort Church Waterfalls,1,0,12,20,26,0,0,0,Goa,Goa,9b59d00eaffc273d83000ed7dcda0e83
Godda,24.83,87.21,Dam Hindu Pilgrimage,0,8,0,0,23,0,0,0,Godda,Jharkhand,8e4ec2c47b4dff8e07258fcd04183fe8
Godhra,22.78,73.61,Dams Lakes Beaches Waterfalls,0,0,0,20,23,0,0,0,Godhra,Gujarat,484188d70a36cb2d7b94b43806aaeacb
Gokarna,13.56,74.7,Beach Fort Waterfalls,0,0,12,20,26,0,0,0,Gokarna,Karnataka,2edd025c252e18a551d73ee343ae2c25
Golaghat,28.61,77.21,Wildlife Sanctuary Waterfalls Hindu Temple Forest,3,0,0,0,26,32,0,0,Golaghat,Assam,02fd67cddf1f08904ffbba8ad8b844b1
Gondia,21.46,80.19,Park Garden Wildlife Sanctuary Cave,0,0,13,0,0,28,0,40,Gondia,Maharashtra,327ea6de8b3b511674330b0dbe467984
gonikoppal,12.25,75.93,Wildlife Sanctuary Park Hindu Temple,3,0,0,0,0,32,0,40,gonikoppal,Karnataka,79c7010c270739ffc434caa5eaf4d0d9
gopalpur,19.26,84.9,Dam Hindu Pilgrimage,0,8,0,0,23,0,0,0,gopalpur,Orissa,e0aab74fa19385419c47118334359a47
Gorakhpur,26.76,83.37,Lake Hindu Temple Park Garden,3,0,0,0,24,28,0,40,Gorakhpur,Uttar Pradesh,e27536e343c79da8f0d375aaf96f65fc
Greater Noida,28.47,77.51,Park Museum Bird Sanctuary,0,0,16,0,0,31,0,40,Greater Noida,Uttar Pradesh,4c3805480695cb47cbda0948694ba16f
